NodeName,Side,Expected Min/Expected Max,Actual Loss,DHI
Site1,,10.1,10.0 (ACTUAL SPAN LOSS),GREEN
Site1,,11.1,,RED
Site1,,11.3,11.2 (ACTUAL SPAN LOSS),GREEN
Site1,,12.3,,RED
Site1,,0.2,0.2 (ACTUAL SPAN LOSS),GREEN
Site1,,1.2,,RED
Site1,,0.1,0.2 (ACTUAL SPAN LOSS),GREEN
Site1,,1.1,,RED
Site2,,10.2,10.1 (ACTUAL SPAN LOSS),GREEN
Site2,,11.2,,RED
Site2,,10.1,10.1 (ACTUAL SPAN LOSS),GREEN
Site2,,11.1,,RED
Site3,,10.2,10.2 (ACTUAL SPAN LOSS),GREEN
Site3,,11.2,,RED
Site3,,10.1,10.1 (ACTUAL SPAN LOSS),GREEN
Site3,,11.1,,RED
Site3,,0.0,-0.1 (ACTUAL SPAN LOSS),GREEN
Site3,,1.0,,RED
Site3,,0.4,0.4 (ACTUAL SPAN LOSS),GREEN
Site3,,1.4,,RED
Site4,,10.2,10.3 (ACTUAL SPAN LOSS),GREEN
Site4,,11.2,,RED
Site4,,29.5,N/A (ACTUAL SPAN LOSS),RED
Site4,,30.5,,RED
Site5,,29.5,N/A (ACTUAL SPAN LOSS),RED
Site5,,30.5,,RED
Site5,,12.4,12.4 (ACTUAL SPAN LOSS),GREEN
Site5,,13.4,,RED
Site6,,0.2,0.2 (ACTUAL SPAN LOSS),GREEN
Site6,,1.2,,RED
